ROI,X_position,Y_position,gene,gene_value,type,full_gene_name
D5761.(3).|.043.|.Full.ROI,5899,21442,Cryab,-1.13140504505463,Cortical layer I,Cryab
D5761.(3).|.043.|.Full.ROI,5899,21442,Pde4a,-1.62737559109125,Cortical layer I,Pde4a
D5761.(3).|.043.|.Full.ROI,5899,21442,Cyb5a,-1.7421748339862,Cortical layer I,Cyb5a
D5761.(3).|.043.|.Full.ROI,5899,21442,Mllt11,-0.523922691459985,Cortical layer I,Mllt11
D5761.(3).|.043.|.Full.ROI,5899,21442,Dkk3,-0.335296326443732,Cortical layer I,Dkk3
D5761.(3).|.043.|.Full.ROI,5899,21442,Ighm,-0.204788814887451,Cortical layer I,Ighm
D5761.(3).|.043.|.Full.ROI,5899,21442,Dnajc16,-1.91880323911508,Cortical layer I,Dnajc16
D5761.(3).|.043.|.Full.ROI,5899,21442,Tppp,-2.1193763034058,Cortical layer I,Tppp
D5761.(3).|.043.|.Full.ROI,5899,21442,Gopc,-2.13434222609969,Cortical layer I,Gopc
D5761.(3).|.043.|.Full.ROI,5899,21442,Cltc,-2.24173684315087,Cortical layer I,Cltc
D5761.(3).|.043.|.Full.ROI,5899,21442,Pfn2,-2.15601796460479,Cortical layer I,Pfn2
D5761.(3).|.043.|.Full.ROI,5899,21442,Ap3s1,-2.10758264295196,Cortical layer I,Ap3s1
D5761.(3).|.043.|.Full.ROI,5899,21442,Pcmt1,-2.22902151102265,Cortical layer I,Pcmt1
D5761.(3).|.043.|.Full.ROI,5899,21442,Rab12,-2.19177589834474,Cortical layer I,Rab12
D5761.(3).|.043.|.Full.ROI,5899,21442,Gucy1b1,-1.82872312354137,Cortical layer I,Gucy1b1
D5761.(3).|.043.|.Full.ROI,5899,21442,Exd2,-2.19841972542431,Cortical layer I,Exd2
D5761.(3).|.043.|.Full.ROI,5899,21442,Slc12a5,-1.4977209600008,Cortical layer I,Slc12a5
D5761.(3).|.043.|.Full.ROI,5899,21442,Calm1,-1.91900144434778,Cortical layer I,Calm1
D5761.(3).|.043.|.Full.ROI,5899,21442,Gpr158,-1.37850164044578,Cortical layer I,Gpr158
D5761.(3).|.043.|.Full.ROI,5899,21442,Kcnip2,-1.22700385043346,Cortical layer I,Kcnip2
D5761.(3).|.043.|.Full.ROI,5899,21442,Tacc1,-1.83200659742688,Cortical layer I,Tacc1
D5761.(3).|.043.|.Full.ROI,5899,21442,Them6,-2.02013199464394,Cortical layer I,Them6
D5761.(3).|.043.|.Full.ROI,5899,21442,Rtn4,-1.94479996990983,Cortical layer I,Rtn4
D5761.(3).|.043.|.Full.ROI,5899,21442,Arhgef25,-2.09405546389953,Cortical layer I,Arhgef25
D5761.(3).|.043.|.Full.ROI,5899,21442,Stxbp5l,-1.28841394115903,Cortical layer I,Stxbp5l
D5761.(3).|.043.|.Full.ROI,5899,21442,Tbr1,-1.64411986803375,Cortical layer I,Tbr1
D5761.(3).|.043.|.Full.ROI,5899,21442,Ppp1r1b,-1.22309756183686,Cortical layer I,Ppp1r1b
D5761.(3).|.043.|.Full.ROI,5899,21442,Nptx1,-1.16696157681978,Cortical layer I,Nptx1
D5761.(3).|.043.|.Full.ROI,5899,21442,Tsnax,-0.704320735226312,Cortical layer I,Tsnax
D5761.(3).|.043.|.Full.ROI,5899,21442,Dock4,0.365865874982609,Cortical layer I,Dock4
D5761.(3).|.043.|.Full.ROI,5899,21442,Sipa1l1,0.983263974072063,Cortical layer I,Sipa1l1
D5761.(3).|.043.|.Full.ROI,5899,21442,Kcnh4,0.281642031359075,Cortical layer I,Kcnh4
D5761.(3).|.043.|.Full.ROI,5899,21442,Kcnh5,-0.840839046142772,Cortical layer I,Kcnh5
D5761.(3).|.043.|.Full.ROI,5899,21442,Myo16,0.404153958287872,Cortical layer I,Myo16
D5761.(3).|.043.|.Full.ROI,5899,21442,Cux1,-0.409259343030874,Cortical layer I,Cux1
D5761.(3).|.043.|.Full.ROI,5899,21442,Cux2,0.142053892290312,Cortical layer I,Cux2
D5761.(3).|.043.|.Full.ROI,5899,21442,Ptn,-0.162875001159618,Cortical layer I,Ptn
D5761.(3).|.043.|.Full.ROI,5899,21442,Plxnd1,-0.197615582008604,Cortical layer I,Plxnd1
D5761.(3).|.043.|.Full.ROI,5899,21442,Nectin1,0.120251967676228,Cortical layer I,Nectin1
D5761.(3).|.043.|.Full.ROI,5899,21442,Rilpl1,-0.829933536070064,Cortical layer I,Rilpl1
D5761.(3).|.043.|.Full.ROI,5899,21442,Npbwr1,-2.09016164360895,Cortical layer I,Npbwr1
D5761.(3).|.043.|.Full.ROI,5899,21442,Tmem200a,-1.17901596820485,Cortical layer I,Tmem200a
D5761.(3).|.043.|.Full.ROI,5899,21442,Ndrg2,1.951765499727,Cortical layer I,Ndrg2
D5761.(3).|.043.|.Full.ROI,5899,21442,Ivd,2.55599450830844,Cortical layer I,Ivd
D5761.(3).|.043.|.Full.ROI,5899,21442,Lypd5,-0.689091278399127,Cortical layer I,Lypd5
D5761.(3).|.043.|.Full.ROI,5899,21442,Cgnl1,2.14661709734813,Cortical layer I,Cgnl1
D5761.(3).|.043.|.Full.ROI,5899,21442,Gng7,2.04299736804747,Cortical layer I,Gng7
D5761.(3).|.043.|.Full.ROI,5899,21442,Lrsam1,0.0932570549541333,Cortical layer I,Lrsam1
D5761.(3).|.043.|.Full.ROI,5899,21442,Etv1,-0.473345434145117,Cortical layer I,Etv1
D5761.(3).|.043.|.Full.ROI,5899,21442,Fezf2,-0.941849496868157,Cortical layer I,Fezf2
D5761.(3).|.053.|.Full.ROI,8852,23021,Cryab,0.726784675647022,Cortical layer I,Cryab
D5761.(3).|.053.|.Full.ROI,8852,23021,Pde4a,-0.931095914206556,Cortical layer I,Pde4a
D5761.(3).|.053.|.Full.ROI,8852,23021,Cyb5a,-0.245355022094569,Cortical layer I,Cyb5a
D5761.(3).|.053.|.Full.ROI,8852,23021,Mllt11,-2.25869591311901,Cortical layer I,Mllt11
D5761.(3).|.053.|.Full.ROI,8852,23021,Dkk3,-0.909113952198445,Cortical layer I,Dkk3
D5761.(3).|.053.|.Full.ROI,8852,23021,Ighm,-0.752697076856568,Cortical layer I,Ighm
D5761.(3).|.053.|.Full.ROI,8852,23021,Dnajc16,-1.91880323911509,Cortical layer I,Dnajc16
D5761.(3).|.053.|.Full.ROI,8852,23021,Tppp,-2.13751107089147,Cortical layer I,Tppp
D5761.(3).|.053.|.Full.ROI,8852,23021,Gopc,-2.13434222609969,Cortical layer I,Gopc
D5761.(3).|.053.|.Full.ROI,8852,23021,Cltc,-2.24173684315087,Cortical layer I,Cltc
D5761.(3).|.053.|.Full.ROI,8852,23021,Pfn2,-2.18553514326755,Cortical layer I,Pfn2
D5761.(3).|.053.|.Full.ROI,8852,23021,Ap3s1,-2.10758264295196,Cortical layer I,Ap3s1
D5761.(3).|.053.|.Full.ROI,8852,23021,Pcmt1,-2.16546797963127,Cortical layer I,Pcmt1
D5761.(3).|.053.|.Full.ROI,8852,23021,Rab12,-2.19177589834474,Cortical layer I,Rab12
D5761.(3).|.053.|.Full.ROI,8852,23021,Gucy1b1,-0.854126719076367,Cortical layer I,Gucy1b1
D5761.(3).|.053.|.Full.ROI,8852,23021,Exd2,-0.749256020177826,Cortical layer I,Exd2
D5761.(3).|.053.|.Full.ROI,8852,23021,Slc12a5,-1.55700572994107,Cortical layer I,Slc12a5
D5761.(3).|.053.|.Full.ROI,8852,23021,Calm1,-1.90726579041419,Cortical layer I,Calm1
D5761.(3).|.053.|.Full.ROI,8852,23021,Gpr158,-1.39310245324939,Cortical layer I,Gpr158
D5761.(3).|.053.|.Full.ROI,8852,23021,Kcnip2,-1.14262676202398,Cortical layer I,Kcnip2
D5761.(3).|.053.|.Full.ROI,8852,23021,Tacc1,-1.87985792375388,Cortical layer I,Tacc1
