bar,X_position,Y_position,type,order,percentage
one,5899,21442,Cortical layer I,A,0.07142
one,8852,23021,Cortical layer I,B,0.07142
one,4148,18512,Cortical layer II/III,C,0.07142
one,6083,21055,Cortical layer II/III,D,0.07142
one,8968,22536,Cortical layer II/III,E,0.07142
one,6525,20614,Cortical layer IV,F,0.07142
one,9157,22058,Cortical layer IV,G,0.07142
one,4576,18267,Cortical layer IV,H,0.07142
one,9377,21609,Cortical layer V,I,0.07142
one,6909,20242,Cortical layer V,J,0.07142
one,5068,18013,Cortical layer V,K,0.07142
one,9640,21043,Cortical layer VI,L,0.07142
one,7451,19774,Cortical layer VI,M,0.07142
one,5789,17625,Cortical layer VI,N,0.07142
