Sample_ID,Cell_type,Proportion,X_position,Y_position,type,Order
D5761.(3).|.019.|.DNA,Neuron,7.50E-05,15346,18206,Choroid plexus,A
D5761.(3).|.019.|.DNA,Microglia,0.009658678,15346,18206,Choroid plexus,B
D5761.(3).|.019.|.DNA,Astrocyte,0,15346,18206,Choroid plexus,C
D5761.(3).|.019.|.DNA,Polydendrocyte,0.002883063,15346,18206,Choroid plexus,D
D5761.(3).|.019.|.DNA,Macrophage,0.017815613,15346,18206,Choroid plexus,E
D5761.(3).|.019.|.DNA,Endothelial Tip,0.343009111,15346,18206,Choroid plexus,F
D5761.(3).|.019.|.DNA,Endothelial Stalk,0.007270266,15346,18206,Choroid plexus,G
D5761.(3).|.019.|.DNA,Choroid Plexus,0.614518225,15346,18206,Choroid plexus,H
D5761.(3).|.019.|.DNA,Oligodendrocyte,0,15346,18206,Choroid plexus,I
D5761.(3).|.019.|.DNA,Ependymal,0.000189682,15346,18206,Choroid plexus,J
D5761.(3).|.019.|.DNA,Mural,0.00458035,15346,18206,Choroid plexus,K
D5761.(3).|.020.|.DNA,Neuron,0,22414,16800,Choroid plexus,A
D5761.(3).|.020.|.DNA,Microglia,0.015599647,22414,16800,Choroid plexus,B
D5761.(3).|.020.|.DNA,Astrocyte,0,22414,16800,Choroid plexus,C
D5761.(3).|.020.|.DNA,Polydendrocyte,0.005539862,22414,16800,Choroid plexus,D
D5761.(3).|.020.|.DNA,Macrophage,0.016472159,22414,16800,Choroid plexus,E
D5761.(3).|.020.|.DNA,Endothelial Tip,0.257976501,22414,16800,Choroid plexus,F
D5761.(3).|.020.|.DNA,Endothelial Stalk,0.008545178,22414,16800,Choroid plexus,G
D5761.(3).|.020.|.DNA,Choroid Plexus,0.684537466,22414,16800,Choroid plexus,H
D5761.(3).|.020.|.DNA,Oligodendrocyte,0,22414,16800,Choroid plexus,I
D5761.(3).|.020.|.DNA,Ependymal,0.003770669,22414,16800,Choroid plexus,J
D5761.(3).|.020.|.DNA,Mural,0.007558517,22414,16800,Choroid plexus,K
D5761.(3).|.021.|.DNA,Neuron,0,7861,16010,Choroid plexus,A
D5761.(3).|.021.|.DNA,Microglia,0.012750052,7861,16010,Choroid plexus,B
D5761.(3).|.021.|.DNA,Astrocyte,0,7861,16010,Choroid plexus,C
D5761.(3).|.021.|.DNA,Polydendrocyte,0.004853321,7861,16010,Choroid plexus,D
D5761.(3).|.021.|.DNA,Macrophage,0.009701501,7861,16010,Choroid plexus,E
D5761.(3).|.021.|.DNA,Endothelial Tip,0.224746106,7861,16010,Choroid plexus,F
D5761.(3).|.021.|.DNA,Endothelial Stalk,0.005961918,7861,16010,Choroid plexus,G
D5761.(3).|.021.|.DNA,Choroid Plexus,0.740817495,7861,16010,Choroid plexus,H
D5761.(3).|.021.|.DNA,Oligodendrocyte,7.62E-05,7861,16010,Choroid plexus,I
D5761.(3).|.021.|.DNA,Ependymal,0,7861,16010,Choroid plexus,J
D5761.(3).|.021.|.DNA,Mural,0.00109345,7861,16010,Choroid plexus,K
D5761.(3).|.008.|.Full.ROI,Neuron,0.063746375,9486.367188,13342.67188,Corticospinal tract,A
D5761.(3).|.008.|.Full.ROI,Microglia,0.22717785,9486.367188,13342.67188,Corticospinal tract,B
D5761.(3).|.008.|.Full.ROI,Astrocyte,0.059464689,9486.367188,13342.67188,Corticospinal tract,C
