primary_location,X_position,Y_position,Structure,Adora2a Expression,Layer,type
Hippocampus,12858,18452,3.719421707,4.856096285,,Hippocampus dentate gyrus
Hippocampus,12493,18144,4.180869819,9.805579036,,Hippocampus dentate gyrus
Hippocampus,13621,18031,3.998163837,5.851197982,,Hippocampus dentate gyrus
Amygdala,23952.74414,10462.90137,1.145955744,3.642072214,,Amygdala - NeuN+
Cortex,5038,19845,3.274063745,2.832722833,Cortical layer II/III,Cortical layer II/III - NeuN+
Cortex,5556,19538,3.004157748,3.642072214,Cortical layer IV,Cortical layer IV - NeuN+
Cortex,5997,19241,3.107025662,2.683632157,Cortical layer V,Cortical layer V - NeuN+
Cortex,6557,18797,2.841889269,5.665445665,Cortical layer VI ,Cortical layer VI - NeuN+
Amygdala,24240.04102,11883.4043,0.899318478,10.62271062,,Amygdala - NeuN+
Cortex,7386,21866,3.294581041,5.998707175,Cortical layer II/III,Cortical layer II/III - NeuN+
Cortex,7692,21379,3.247458369,12.74725275,Cortical layer IV,Cortical layer IV - NeuN+
Cortex,7995,21047,2.708207124,1.821036107,Cortical layer V,Cortical layer V - NeuN+
Cortex,8423,20530,2.779932255,5.098901099,Cortical layer VI,Cortical layer VI - NeuN+
Amygdala,23714.22656,11241.91113,1.202311904,2.549450549,,Amygdala - NeuN+
Cortex,10355,22958,2.816219911,1.593406593,Cortical layer II/III ,Cortical layer II/III - NeuN+
Cortex,10636,22526,2.906948324,3.642072214,Cortical layer IV,Cortical layer IV - NeuN+
Cortex,10734,22083,2.739962554,1.499676794,Cortical layer V,Cortical layer V - NeuN+
Cortex,10907,21517,2.79447046,13.49709114,Cortical layer VI,Cortical layer VI - NeuN+
Caudoputamen,24192.89648,14239.9043,1.78013805,488.6446886,,Caudoputamen - NeuN+
Caudoputamen,23949.63086,15586.26758,2.261821675,325.0549451,,Caudoputamen - NeuN+
Caudoputamen,24140.10547,13193.1123,1.93375196,382.4175824,,Caudoputamen - NeuN+
