FC,Significance,GeneNames,Color
-6.66309987141913,4.52675948369726,Slc17a7,#FFC20A
7.59075806902326,2.76735392048652,Penk,#5D3a9B
5.66057527617704,4.59899128552286,Pde7b,#5D3a9B
5.47737076918847,4.20345861483155,Rgs9,#5D3a9B
6.41072030352733,3.24831625501068,Adora2a,#5D3a9B
5.25601980368629,3.86667002255251,Ppp1r1b,#5D3a9B
-5.8807002877169,2.83325770694128,C1ql3,#FFC20A
6.00292924158614,2.56791299934984,Gpr88,#5D3a9B
5.19956624138496,2.98533103154633,Scn4b,#5D3a9B
-4.58324193234923,3.53205071416005,Nr2f2,#FFC20A
3.47514482563297,4.54362234862331,Slc32a1,#5D3a9B
5.11776156371436,2.84383055277616,Tac1,#5D3a9B
4.20704537109155,3.67891297342356,Gng7,#5D3a9B
-4.99347975257804,2.85877239057638,Dkk3,#FFC20A
4.24113341093641,3.56632835503533,Drd2,#5D3a9B
4.50267313385483,3.2765535570928,Sv2c,#5D3a9B
-3.76246086099683,3.99776295413163,Rtn4r,#FFC20A
4.62739671832673,2.98939559925625,Meis2,#5D3a9B
3.74058217975122,3.74740923356827,Klhl13,#5D3a9B
-4.78846169833059,2.67837196457832,Nrn1,#FFC20A
3.60858461096104,3.74830421030999,Inf2,#5D3a9B
-3.02223476036118,4.3181324586452,Sobp,#FFC20A
3.87902588571456,3.3733722546105,Slc35d3,#5D3a9B
-3.65248482740239,3.57396496734438,Neurod6,#FFC20A
3.45055847942714,3.74342658267161,Kcna5,#5D3a9B
-4.01307747141423,3.08597074497461,Ccn3,#FFC20A
3.51477350540794,3.55978152188945,Stk32a,#5D3a9B
4.17003493362863,2.87966577516184,Dlx6,#5D3a9B
4.22367499635567,2.75607971263203,Gpr83,#5D3a9B
-3.95546527246015,2.98524983644552,Vxn,#FFC20A
-2.28863960485074,4.63354413456831,Cadm1,#FFC20A
3.85614043215891,3.01121651881548,,#5D3a9B
3.66791737828704,3.19659975790513,,#5D3a9B
3.55384356695607,3.29114371946222,,#5D3a9B
-3.75176753733219,3.07017746381878,Cck,#FFC20A
3.23808183922204,3.50205838625347,,#5D3a9B
4.0341053231149,2.67464759201808,,#5D3a9B
-2.37423140997144,4.2631620519088,Oxr1,#FFC20A
3.28371390624032,3.35129555101009,,#5D3a9B
-2.72800839949572,3.83601197832664,Slc30a3,#FFC20A
3.24799762035339,3.24941315453923,,#5D3a9B
-3.71464326430312,2.7376267788996,Syt17,#FFC20A
-3.49224873464649,2.95129580603562,Ppm1e,#FFC20A
-3.78149326672623,2.5968896177566,Rtn4rl2,#FFC20A
2.22098833757414,4.15244597095274,,#5D3a9B
3.78958298388012,2.56774472952942,,#5D3a9B
-2.76914284173075,3.57837078934772,Kcnc4,#FFC20A
-3.60596576656309,2.74099462656671,Pde1a,#FFC20A
-2.42101146861127,3.88076738879248,Adgra1,#FFC20A
2.91357257634244,3.37633364392749,,#5D3a9B
-2.73200171283406,3.49011098377846,,#FFC20A
-2.8147091628542,3.35023279702112,,#FFC20A
3.77522674324949,2.38877099810127,,#5D3a9B
-3.42417899727103,2.72850181430344,,#FFC20A
-3.35490394571804,2.78648102748556,,#FFC20A
3.28874953703706,2.84979568332383,,#5D3a9B
3.3272419428437,2.81017188539757,,#5D3a9B
-2.39008068081236,3.74142491442758,,#FFC20A
-2.80049148017208,3.27931101882494,,#FFC20A
-1.3373209967506,4.71202714998598,,#FFC20A
-2.36167870128527,3.68272295116032,,#FFC20A
3.13822841193574,2.88277767819738,,#5D3a9B
-3.19802270328757,2.82035801190837,,#FFC20A
-2.56059549187935,3.44463142794846,,#FFC20A
-3.37647674107142,2.61694913381905,,#FFC20A
-3.04121089168315,2.92840717388572,,#FFC20A
-2.95764622108241,2.99325182688965,,#FFC20A
-2.40685035817076,3.53852149893365,,#FFC20A
-2.82889713040463,3.11020141947504,,#FFC20A
-3.67400179837674,2.26202228063605,,#FFC20A
3.00160937481421,2.93178434046065,,#5D3a9B
-3.43306933946243,2.48281819980311,,#FFC20A
3.38634345344634,2.52472009890492,,#5D3a9B
-2.29984240239834,3.61086689329637,,#FFC20A
2.90704396775045,2.98478899133169,,#5D3a9B
3.9564170330909,1.91748572815333,,#5D3a9B
3.0815867447883,2.78285064445237,,#5D3a9B
2.09376203679667,3.72271187614835,,#5D3a9B
3.32980423186286,2.47915984912384,,#5D3a9B
3.61450951153703,2.16305921826616,,#5D3a9B
2.86773806842579,2.90029726630211,,#5D3a9B
-2.13163045548086,3.63310691203523,,#FFC20A
-2.83543055872326,2.91414900418311,,#FFC20A
3.33321591217612,2.41448851973483,,#5D3a9B
-3.12683066246066,2.62013107460374,,#FFC20A
1.67786712050244,4.04143847497168,,#5D3a9B
-3.17666274173882,2.53027448880856,,#FFC20A
2.42709537013001,3.26873118874094,,#5D3a9B
2.29105600835032,3.38143744624861,,#5D3a9B
2.76042870346334,2.90719314826837,,#5D3a9B
2.51477350540794,3.14978016237848,,#5D3a9B
2.51477350540794,3.14978016237848,,#5D3a9B
-3.19584548146166,2.46580924661848,,#FFC20A
-2.41046421138657,3.24543571528346,,#FFC20A
2.64554597966752,3.00460711152072,,#5D3a9B
-3.46523924372214,2.18292485564486,,#FFC20A
3.05301012011301,2.59454805790224,,#5D3a9B
-2.08498703509937,3.5353772804816,,#FFC20A
2.26142376964819,3.34737910654357,,#5D3a9B
-3.4142552694426,2.19122198084916,,#FFC20A
3.05301012011301,2.53830852910053,,#5D3a9B
2.58347595132426,3.00025725834559,,#5D3a9B
2.92223764585342,2.65376001303064,,#5D3a9B
2.42709537013001,3.14422912498961,,#5D3a9B
2.95541620370372,2.60959467321927,,#5D3a9B
-3.06706191654845,2.47848900068634,,#FFC20A
2.07566184421231,3.44247267506442,,#5D3a9B
-2.89782898583311,2.61595394308045,,#FFC20A
2.69621367748254,2.80359837832647,,#5D3a9B
3.80180247407307,1.6793580745494,,#5D3a9B
-2.14431980242537,3.33256072762277,,#FFC20A
2.97021424348987,2.50559038732579,,#5D3a9B
-3.27583887240137,2.19515024349051,,#FFC20A
-2.68364565507508,2.78231330537182,,#FFC20A
3.02954701081587,2.41856048649632,,#5D3a9B
2.70976100564832,2.73660616490169,,#5D3a9B
2.34785104763969,3.09330176288398,,#5D3a9B
-2.96698434647228,2.47169657143699,,#FFC20A
-3.42932538750869,2.00852734423584,,#FFC20A
-1.98251086003529,3.44997099674744,,#FFC20A
2.94186887553794,2.49055531566861,,#5D3a9B
2.37642767231499,3.05522251843523,,#5D3a9B
-2.49865640160064,2.92775636817984,,#FFC20A
-3.14431980242537,2.27937839613294,,#FFC20A
-2.56907368951105,2.82895133861553,,#FFC20A
-2.24242946930931,3.15512549812794,,#FFC20A
-2.20853482840617,3.18507808296475,,#FFC20A
2.28874953703706,3.08909028925501,,#5D3a9B
2.28874953703706,3.08909028925501,,#5D3a9B
-3.01102968095465,2.36057175106257,,#FFC20A
-2.23338767411838,3.13679282717143,,#FFC20A
-3.27419569619746,2.09567692949994,,#FFC20A
-2.74379754471991,2.61386856929296,,#FFC20A
-2.75648689166441,2.60115660234989,,#FFC20A
-3.45559684856764,1.89954495895348,,#FFC20A
-2.40352232864655,2.91698545403638,,#FFC20A
2.1814401720746,3.12345440941466,,#5D3a9B
2.1814401720746,3.12345440941466,,#5D3a9B
2.1814401720746,3.12345440941466,,#5D3a9B
2.45055847942714,2.84825307051581,,#5D3a9B
2.45055847942714,2.84825307051581,,#5D3a9B
-2.59424695142522,2.70309284856723,,#FFC20A
3.22453451105626,2.06628697418646,,#5D3a9B
2.62208287037039,2.66669903140733,,#5D3a9B
2.91006235384505,2.36585787158381,,#5D3a9B
-2.63991095824206,2.63146886263763,,#FFC20A
3.59820631137671,1.66951849796685,,#5D3a9B
2.56992862315847,2.68875592899446,,#5D3a9B
2.71613061329756,2.53988054046258,,#5D3a9B
2.74204818539918,2.50892546726579,,#5D3a9B
-1.50084354964339,3.71520513217067,,#FFC20A
2.31978600516755,2.89556013607582,,#5D3a9B
2.31978600516755,2.89556013607582,,#5D3a9B
3.33720576336843,1.87470427104182,,#5D3a9B
-1.8916431551411,3.31229527804262,,#FFC20A
1.57829228347942,3.5900181455379,,#5D3a9B
-0.847714108342178,4.31601890372794,,#FFC20A
1.9266781053527,3.23569933207118,,#5D3a9B
