FC,Significance,GeneNames,Color
6.87097995029319,4.91063753296071,Penk,#f0e442
6.61618380075793,4.3716477798143,Gpr88,#f0e442
6.23293224954059,4.73002909493642,Ppp1r1b,#f0e442
5.91135164978034,4.15185868055492,Adora2a,#f0e442
4.53174796043952,5.2694702416023,Drd2,#f0e442
-5.31096247254234,4.20996208716848,Slc17a7,#01513b
4.55092877655145,4.9320506043881,Cpne5,#f0e442
-5.32740193332631,3.99729439627887,Sema5a,#01513b
4.59970723100602,4.39689819041815,Meis2,#f0e442
4.63588204993207,4.32678061016541,Tac1,#f0e442
3.90637768057823,4.70869305818654,Adcy5,#f0e442
-3.72445383702669,4.75968787993153,Prox1,#01513b
-4.26978755315532,4.19145355542025,Slit1,#01513b
3.23921525729727,5.21366553158855,Prkcb,#f0e442
4.35408603191468,4.06552493743993,Slc32a1,#f0e442
-4.4203406123868,3.9552824490717,C1ql2,#01513b
5.82499609256513,2.45852024635451,Scn4b,#f0e442
-3.61451920016234,4.4976926535205,Kcnc4,#01513b
-4.529120843805,3.5501199066498,Neurod2,#01513b
-5.23316200877809,2.80798609650915,Nrn1,#01513b
3.91369824926067,4.08240322376558,Tmem158,#f0e442
4.07865911777846,3.84413330707259,Rcan2,#f0e442
3.62164067812964,4.25185703974714,Ptpn5,#f0e442
-4.20750043140074,3.51517002214944,Prdm8,#01513b
-3.37457014881983,4.34560936092307,Maml2,#01513b
-3.41831832657925,4.27960740941083,Rtn4r,#01513b
4.25136575210316,3.3892535989208,Rgs9,#f0e442
4.51474884118938,3.09772543861064,Kcnt1,#f0e442
-4.85046989946687,2.76164149349404,C1ql3,#01513b
3.9189143635825,3.68304000572371,Gucy1a1,#f0e442
3.79167527363023,3.80028782422744,Egr1,#f0e442
4.69654561175798,2.85611710361265,Gad2,#f0e442
3.51790519219012,3.97671020998906,,#f0e442
2.64364636308496,4.76290542795333,,#f0e442
-3.50962680251904,3.86662893672836,Tcf4,#01513b
-2.00044514035157,5.35543672926648,Sema6d,#01513b
1.44284983892518,5.90918095015342,,#f0e442
2.82464196143226,4.5186011474734,,#f0e442
3.00779749386352,4.32936561207737,,#f0e442
