clust_id,X_position,Y_position,x_axis,y_axis,layer,type,ROItype
4,5899,21442,100.530251959993,-53.8833882959582,Layer I,Cortical layer I,Cortical layer I
5,6083,21055,-2.18598405032902,22.3226665753773,Layer II/III,Cortical layer II/III,Cortical layer II/III
8,6525,20614,-6.41191227620824,14.2773455072793,Layer IV,Cortical layer IV,Cortical layer IV
11,6909,20242,11.1236370835795,27.7890820746657,Layer V,Cortical layer V,Cortical layer V
14,7451,19774,-3.80527156286365,26.8798090855816,Layer VI,Cortical layer VI,Cortical layer VI
6,5038,19845,-81.9067510073218,-5.63765626976335,Layer II/III,Cortical layer II/III - NeuN+,NeuN+
7,5038,19845,76.8371811957724,19.7269860874186,Layer II/III,Cortical layer II/III - Neuropil,Neuropil
9,5556,19538,-67.8432701234253,-34.9565772663415,Layer IV,Cortical layer IV - NeuN+,NeuN+
10,5556,19538,59.9367713010968,-54.3125120585387,Layer IV,Cortical layer IV - Neuropil,Neuropil
12,5997,19241,-110.268253168057,-11.5139966967579,Layer V,Cortical layer V - NeuN+,NeuN+
13,5997,19241,68.4469631279867,24.3286139832203,Layer V,Cortical layer V - Neuropil,Neuropil
15,6557,18797,-76.8998361537895,5.9842351928776,Layer VI,Cortical layer VI - NeuN+,NeuN+
16,6557,18797,74.7573900242342,37.1295779283478,Layer VI,Cortical layer VI - Neuropil,Neuropil
4,8852,23021,96.3672314327742,1.00903168755202,Layer I,Cortical layer I,Cortical layer I
5,8968,22536,-6.02029990819643,21.5015284219264,Layer II/III,Cortical layer II/III,Cortical layer II/III
8,9157,22058,-14.8248835602257,14.3301899817774,Layer IV,Cortical layer IV,Cortical layer IV
11,9377,21609,-3.35859805560695,28.3363661820658,Layer V,Cortical layer V,Cortical layer V
14,9640,21043,2.1490686631189,27.0379959869644,Layer VI,Cortical layer VI,Cortical layer VI
6,7386,21866,-78.1252690618815,-5.66494707618962,Layer II/III,Cortical layer II/III - NeuN+,NeuN+
7,7386,21866,62.2711779058182,-36.1215893616689,Layer II/III,Cortical layer II/III - Neuropil,Neuropil
9,7692,21379,-64.1634378342226,-16.7020230239165,Layer IV,Cortical layer IV - NeuN+,NeuN+
10,7692,21379,83.4503554002866,-98.3886705838703,Layer IV,Cortical layer IV - Neuropil,Neuropil
12,7995,21047,-101.674071838062,-13.9821930375935,Layer V,Cortical layer V - NeuN+,NeuN+
13,7995,21047,69.3853315941927,35.7705717825854,Layer V,Cortical layer V - Neuropil,Neuropil
15,8423,20530,-80.4003556082404,-2.74733948467209,Layer VI,Cortical layer VI - NeuN+,NeuN+
16,8423,20530,59.1592803097919,0.935628485024336,Layer VI,Cortical layer VI - Neuropil,Neuropil
5,4148,18512,3.13696855212719,20.5874330237313,Layer II/III,Cortical layer II/III,Cortical layer II/III
8,4576,18267,10.0648976362764,23.8788291158329,Layer IV,Cortical layer IV,Cortical layer IV
11,5068,18013,16.4549176896402,29.4657060321675,Layer V,Cortical layer V,Cortical layer V
14,5789,17625,-3.2780161552324,28.2771558339549,Layer VI,Cortical layer VI,Cortical layer VI
6,10355,22958,-89.1659679729232,-11.3818782659108,Layer II/III,Cortical layer II/III - NeuN+,NeuN+
7,10355,22958,59.3113947762317,7.88568202654064,Layer II/III,Cortical layer II/III - Neuropil,Neuropil
9,10636,22526,-64.5041525263075,-31.9328418204703,Layer IV,Cortical layer IV - NeuN+,NeuN+
10,10636,22526,48.1164418119737,-74.1994856518295,Layer IV,Cortical layer IV - Neuropil,Neuropil
12,10734,22083,-98.582738242639,-11.3225905822753,Layer V,Cortical layer V - NeuN+,NeuN+
13,10734,22083,62.4659175704746,27.9280449349038,Layer V,Cortical layer V - Neuropil,Neuropil
15,10907,21517,-70.9256447086914,3.99592016633847,Layer VI,Cortical layer VI - NeuN+,NeuN+
16,10907,21517,60.3795357788537,13.3692893796234,Layer VI,Cortical layer VI - Neuropil,Neuropil
