Sample_ID,Cell_type,Proportion,X_position,Y_position,type,Order
D5761.(3).|.043.|.Full.ROI,Neuron,0.16542907,5899,21442,Cortical layer I,A
D5761.(3).|.043.|.Full.ROI,Microglia,0.251101988,5899,21442,Cortical layer I,B
D5761.(3).|.043.|.Full.ROI,Astrocyte,0.208145307,5899,21442,Cortical layer I,C
D5761.(3).|.043.|.Full.ROI,Polydendrocyte,0.0096469,5899,21442,Cortical layer I,D
D5761.(3).|.043.|.Full.ROI,Macrophage,0.132881166,5899,21442,Cortical layer I,E
D5761.(3).|.043.|.Full.ROI,Endothelial Tip,0.132986518,5899,21442,Cortical layer I,F
D5761.(3).|.043.|.Full.ROI,Endothelial Stalk,0.086906534,5899,21442,Cortical layer I,G
D5761.(3).|.043.|.Full.ROI,Choroid Plexus,0.000936759,5899,21442,Cortical layer I,H
D5761.(3).|.043.|.Full.ROI,Oligodendrocyte,0,5899,21442,Cortical layer I,I
D5761.(3).|.043.|.Full.ROI,Ependymal,0.00406366,5899,21442,Cortical layer I,J
D5761.(3).|.043.|.Full.ROI,Mural,0.007902096,5899,21442,Cortical layer I,K
D5761.(3).|.053.|.Full.ROI,Neuron,0.183171246,8852,23021,Cortical layer I,A
D5761.(3).|.053.|.Full.ROI,Microglia,0.252815449,8852,23021,Cortical layer I,B
D5761.(3).|.053.|.Full.ROI,Astrocyte,0.250130578,8852,23021,Cortical layer I,C
D5761.(3).|.053.|.Full.ROI,Polydendrocyte,0.058598389,8852,23021,Cortical layer I,D
D5761.(3).|.053.|.Full.ROI,Macrophage,0.134060168,8852,23021,Cortical layer I,E
D5761.(3).|.053.|.Full.ROI,Endothelial Tip,0.026976037,8852,23021,Cortical layer I,F
D5761.(3).|.053.|.Full.ROI,Endothelial Stalk,0.083640304,8852,23021,Cortical layer I,G
D5761.(3).|.053.|.Full.ROI,Choroid Plexus,0,8852,23021,Cortical layer I,H
D5761.(3).|.053.|.Full.ROI,Oligodendrocyte,0,8852,23021,Cortical layer I,I
D5761.(3).|.053.|.Full.ROI,Ependymal,0.000560899,8852,23021,Cortical layer I,J
D5761.(3).|.053.|.Full.ROI,Mural,0.01004693,8852,23021,Cortical layer I,K
D5761.(3).|.044.|.Full.ROI,Neuron,0.598053921,6083,21055,Cortical layer II/III,A
D5761.(3).|.044.|.Full.ROI,Microglia,0.153969366,6083,21055,Cortical layer II/III,B
D5761.(3).|.044.|.Full.ROI,Astrocyte,0.093739648,6083,21055,Cortical layer II/III,C
D5761.(3).|.044.|.Full.ROI,Polydendrocyte,0.039304288,6083,21055,Cortical layer II/III,D
D5761.(3).|.044.|.Full.ROI,Macrophage,0.047496008,6083,21055,Cortical layer II/III,E
D5761.(3).|.044.|.Full.ROI,Endothelial Tip,0.03533536,6083,21055,Cortical layer II/III,F
D5761.(3).|.044.|.Full.ROI,Endothelial Stalk,0.027671572,6083,21055,Cortical layer II/III,G
D5761.(3).|.044.|.Full.ROI,Choroid Plexus,0.000188591,6083,21055,Cortical layer II/III,H
D5761.(3).|.044.|.Full.ROI,Oligodendrocyte,0,6083,21055,Cortical layer II/III,I
D5761.(3).|.044.|.Full.ROI,Ependymal,0.004241247,6083,21055,Cortical layer II/III,J
D5761.(3).|.044.|.Full.ROI,Mural,0,6083,21055,Cortical layer II/III,K
D5761.(3).|.054.|.Full.ROI,Neuron,0.638290554,8968,22536,Cortical layer II/III,A
D5761.(3).|.054.|.Full.ROI,Microglia,0.1569067,8968,22536,Cortical layer II/III,B
D5761.(3).|.054.|.Full.ROI,Astrocyte,0.107497797,8968,22536,Cortical layer II/III,C
D5761.(3).|.054.|.Full.ROI,Polydendrocyte,0.015811632,8968,22536,Cortical layer II/III,D
D5761.(3).|.054.|.Full.ROI,Macrophage,0.029351452,8968,22536,Cortical layer II/III,E
D5761.(3).|.054.|.Full.ROI,Endothelial Tip,0.012182248,8968,22536,Cortical layer II/III,F
D5761.(3).|.054.|.Full.ROI,Endothelial Stalk,0.031122339,8968,22536,Cortical layer II/III,G
D5761.(3).|.054.|.Full.ROI,Choroid Plexus,0.000114963,8968,22536,Cortical layer II/III,H
D5761.(3).|.054.|.Full.ROI,Oligodendrocyte,0,8968,22536,Cortical layer II/III,I
D5761.(3).|.054.|.Full.ROI,Ependymal,0.008722314,8968,22536,Cortical layer II/III,J
D5761.(3).|.054.|.Full.ROI,Mural,0,8968,22536,Cortical layer II/III,K
D5761.(3).|.064.|.Full.ROI,Neuron,0.658262468,4148,18512,Cortical layer II/III,A
D5761.(3).|.064.|.Full.ROI,Microglia,0.144806445,4148,18512,Cortical layer II/III,B
D5761.(3).|.064.|.Full.ROI,Astrocyte,0.079922031,4148,18512,Cortical layer II/III,C
D5761.(3).|.064.|.Full.ROI,Polydendrocyte,0,4148,18512,Cortical layer II/III,D
